press_kpa,sat_temp_C,satliq_vf,satvap_vg,satliq_uf,satvap_ug,satliq_hf,satvap_hg,satliq_sf,satvap_sg
60,-36.95,0.0007097,0.31108,3.795,209.13,3.837,227.8,0.01633,0.96445
70,-33.87,0.0007143,0.26921,7.672,210.9,7.722,229.74,0.03264,0.96047
80,-31.13,0.0007184,0.23749,11.14,212.48,11.2,231.47,0.04707,0.95716
90,-28.65,0.0007222,0.21261,14.3,213.9,14.36,233.04,0.06003,0.95434
100,-26.37,0.0007258,0.19255,17.19,215.21,17.27,234.46,0.07182,0.95191
120,-22.32,0.0007323,0.16216,22.38,217.53,22.47,236.99,0.09269,0.94789
140,-18.77,0.0007381,0.1402,26.96,219.56,27.06,239.19,0.1108,0.94467
160,-15.6,0.0007435,0.12355,31.06,221.37,31.18,241.14,0.12686,0.94202
180,-12.73,0.0007485,0.11049,34.81,223.01,34.94,242.9,0.14131,0.93979
200,-10.09,0.0007532,0.099951,38.26,224.51,38.41,244.5,0.15449,0.93788
240,-5.38,0.0007618,0.083983,44.46,227.17,44.64,247.32,0.17786,0.93475
280,-1.25,0.0007697,0.072434,49.95,229.49,50.16,249.77,0.19822,0.93228
320,2.46,0.0007771,0.063681,54.9,231.55,55.14,251.93,0.21631,0.93026
360,5.82,0.000784,0.056809,59.42,233.41,59.7,253.86,0.23265,0.92856
400,8.91,0.0007905,0.051266,63.61,235.1,63.92,255.61,0.24757,0.92711
450,12.46,0.0007983,0.045677,68.44,237.03,68.8,257.58,0.26462,0.92555
500,15.71,0.0008058,0.041168,72.92,238.77,73.32,259.36,0.28021,0.9242
550,18.73,0.0008129,0.037452,77.09,240.38,77.54,260.98,0.2946,0.92302
600,21.55,0.0008198,0.034335,81.01,241.86,81.5,262.46,0.30799,0.92196
650,24.2,0.0008265,0.03168,84.72,243.23,85.26,263.82,0.32052,0.921
700,26.69,0.0008331,0.029392,88.24,244.51,88.82,265.08,0.33232,0.92012
750,29.06,0.0008395,0.027398,91.59,245.7,92.22,266.25,0.34348,0.9193
800,31.31,0.0008457,0.025645,94.8,246.82,95.48,267.34,0.35408,0.91853
850,33.45,0.0008519,0.024091,97.88,247.88,98.61,268.36,0.36417,0.91779
900,33.51,0.000858,0.22703,100.84,248.88,101.62,269.31,0.37383,0.91709
950,37.48,0.000864,0.021456,103.7,249.82,104.52,270.2,0.38307,0.91641
1000,39.37,0.00087,0.020329,106.47,250.71,107.34,271.04,0.39196,0.91574
1200,46.29,0.0008935,0.016728,116.72,253.84,117.79,273.92,0.42449,0.9132
1400,52.4,0.0009167,0.014119,125.96,256.4,127.25,276.17,0.45325,0.91067
1600,57.88,0.00094,0.012134,134.45,258.5,135.96,277.92,0.47921,0.90802
1800,62.87,0.0009639,0.010568,142.36,260.21,144.09,279.23,0.50304,0.90517
2000,67.45,0.0009887,0.009297,149.81,261.56,151.78,280.15,0.52519,0.90204
2500,77.54,0.0010567,0.006941,167.02,263.49,169.66,280.84,0.57542,0.89243
3000,86.16,0.001141,0.005272,183.09,263.26,186.51,279.08,0.62133,0.87893