press_kPa,temp_C,v,u,h,s
200,-10.09,0.09995,224.51,244.5,0.9379
200,-10,0.09991,224.57,244.56,0.9381
200,0,0.10481,232.11,253.07,0.9699
200,10,0.10955,239.69,261.6,1.0005
200,20,0.11418,247.36,270.2,1.0304
200,30,0.11874,255.16,278.91,1.0596
200,40,0.12322,263.09,287.74,1.0882
200,50,0.12766,271.16,296.7,1.1164
200,60,0.13206,279.38,305.79,1.1441
200,70,0.13641,287.75,315.03,1.1714
200,80,0.14074,296.27,324.41,1.1984
200,90,0.14504,304.93,333.94,1.225
200,100,0.14933,313.75,343.62,1.2513